Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Urca,Rua das Flores,1,49,11800,0.0006,35,37,1400,100,143000,99
Gávea,Rua Álvaro Americano,1,45,13200,0.0006,45,38,1350,100,140250,99
Botafogo,Jardim Juíza Cristiane Tomaz Buosi,1,51,9800,0.0006,70,43,2700,180,267300,78
Humaitá,Jardim Juíza Cristiane Tomaz Buosi,1,51,9100,0.0006,70,42,2700,180,267300,78
Ipanema,Jardim de Alah,1,54,14800,0.0006,90,53,4900,320,480700,42
Botafogo,Ladeira do Leme,1,49,9800,0.0006,98,47,2700,180,267300,78
Copacabana,Ladeira do Leme,1,49,8200,0.0006,98,46,2700,180,267300,78
São Conrado,Ciclovia Tim Maia,1,49,11500,0.0006,30,35,1400,100,143000,99
Botafogo,Condomínio Bairro Abrunhosa,1,54,9800,0.0006,95,49,2750,180,270050,77
Urca,Espaço Mario de Andrade,1,52,11800,0.0006,35,38,1400,100,143000,99
Laranjeiras,Espaço Pela Paz,1,45,8500,0.0006,75,39,1650,130,176550,93
Copacabana,Estrada do Cantagalo,1,51,8200,0.0006,90,45,2700,180,267300,78
Ipanema,Estrada do Cantagalo,1,51,14800,0.0006,90,52,4800,320,475200,43
Laranjeiras,Ciclofaixa Rua Pinheiro Machado,1,62,8500,0.0006,75,47,1800,130,184800,92
Flamengo,Ciclovia Mané Garrincha,1,62,9200,0.0006,88,50,1800,130,184800,92
Copacabana,BRS 3 Siqueira Campos,1,96,8200,0.0006,98,67,3350,200,316250,69
Botafogo,Avenida Rui Barbosa,1,59,9800,0.0006,95,51,2850,180,275550,76
Urca,Avenida São Sebastião,1,45,11800,0.0006,35,35,1350,100,140250,99
Copacabana,BRS 1 Figueiredo Magalhães,1,49,8200,0.0006,98,46,2700,180,267300,78
Copacabana,BRS 1 Miguel Lemos,1,49,8200,0.0006,98,46,2700,180,267300,78
Ipanema,Avenida Nossa Senhora de Copacabana,1,68,14800,0.0006,90,59,5150,340,507650,37
Laranjeiras,Travessa Pinto da Rocha,1,45,8500,0.0006,75,39,1650,130,176550,93
